Asus VivoBook 15 S532 (US),"15.6"" - 1920x1080",INTEL i7-1165G7,NVIDIA GeForce MX350,8 GB DDR4,1024 GB - SSD,1.8 Kg / 3.97 lb,Windows 10 Home,Estimated battery: 5 - 5.3 h,31403322,https://www.notebookcheck.net/fileadmin/_processed_/b/e/csm_ASUS_VivoBook_S14_S15_Available_in_five_bold_color_blocking_finishes_ad66bacd79.png,V?n ph�ng
Asus VivoBook S15 S513 (US),"15.6"" - 1920x1080",AMD Ryzen 7 4700U,AMD Radeon RX Vega 7 (Renoir),24 GB DDR4,2048 GB - SSD,1.8 Kg / 3.97 lb,Windows 10 Home,Estimated battery: 7.2 - 7.7 h,34193916,https://dlcdnwebimgs.asus.com/gain/30e1742a-c98f-4369-b2db-889ab608ca1a/,V?n ph�ng
Asus VivoBook 16X N7601 (US),"16.0"" - 2560x1600",INTEL i7-12650H,NVIDIA GeForce RTX 3060,32 GB DDR5,1024 GB - SSD,2.3 Kg / 5.07 lb,Windows 11 Home,Estimated battery: 5 - 5.3 h,53167518,https://dlcdnwebimgs.asus.com/gain/6b01786b-0d88-4518-96c4-b3b9b02fa187/,Gaming
Microsoft Surface Laptop 5 15 (US),"15.0"" - 2496x1664",INTEL i7-1265U,INTEL Iris Xe 96 EU,8 GB DDR5,256 GB - SSD,1.56 Kg / 3.44 lb,Windows 11 Pro,Estimated battery: 3.5 - 3.8 h,33377454,https://p-vn.ipricegroup.com/uploaded_affdaac5008208b581e253f64a2af5cd135b28d9.jpg,M?ng nh?
Dell Latitude 14 (US),"14.0"" - 2560x1600",INTEL i5-1335U,INTEL Iris Xe 80 EU,16 GB DDR5,256 GB - SSD,1.54 Kg / 3.4 lb,Windows 11 Pro,Estimated battery: 4.5 - 4.8 h,46026522,https://trungtran.vn/upload_images/images/products/dell-latitude/large/dell-latitude-5400-frontview-trungtran.vn_.png,V?n ph�ng
Acer ConceptD 5 Pro (US),"16.0"" - 3072x1920",INTEL i7-12700H,NVIDIA GeForce RTX 3070 Ti,32 GB DDR5,1024 GB - SSD,2.4 Kg / 5.29 lb,Windows 11 Pro,Estimated battery: 6.6 - 7.1 h,60893442,https://www.notebookcheck.net/uploads/tx_nbc2/AcerConceptD5ProCN517-71P__1_.JPG,Gaming
Lenovo Legion 7 16 (US),"16.0"" - 2560x1600",INTEL i7-12800HX,NVIDIA GeForce RTX 3070 Ti 150W,16 GB DDR5,1024 GB - SSD,2.53 Kg / 5.58 lb,Windows 11 Home,Estimated battery: 3.2 - 3.5 h,63330642,https://p3-ofp.static.pub/fes/cms/2022/04/19/m70yjbkd8r8djop1de3mm5b6ii2jct706125.png,Gaming
HP Zbook Fury 16 (US),"16.0"" - 1920x1200",INTEL i7-12800HX,INTEL UHD Graphics 12th gen,32 GB DDR5,512 GB - SSD,2.66 Kg / 5.86 lb,Windows 11 Pro,Estimated battery: 3.5 - 3.8 h,53886492,https://cdn.mos.cms.futurecdn.net/KktYVxqtNeSYoHZGXvsZKi.jpg,V?n ph�ng
Dell Latitude 16 (US),"16.0"" - 1920x1200",INTEL i5-1345U,INTEL Iris Xe 80 EU,16 GB DDR5,256 GB - SSD,1.84 Kg / 4.05 lb,Windows 11 Pro,Estimated battery: 3.2 - 3.4 h,43833042,"https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/notebooks/latitude-notebooks/latitude-16-7640-laptop/media-gallery/laptop-latitude-16-7640-gray-wlan-nonfpr-gallery-1.psd?fmt=pjpg&pscan=auto&scl=1&wid=3443&hei=1992&qlt=100,1&resMode=sharp2&size=3443,1992&chrss=full&imwidth=5000",V?n ph�ng
Clevo PD50 (US),"15.6"" - 2560x1440",INTEL i7-12700H,NVIDIA GeForce RTX 3080 Ti,16 GB DDR4,512 GB - SSD,2.4 Kg / 5.29 lb,Windows 11 Home,Estimated battery: 5.7 - 6.1 h,62124228,https://noteb.com/res/img/models/3948_3.jpg,Gaming
Lenovo Yoga Slim 9 14 (US),"14.0"" - 3840x2400",INTEL i7-1280P,INTEL Iris Xe G7 96 EU,32 GB DDR5,1024 GB - SSD,1.37 Kg / 3.02 lb,Windows 11 Home,Estimated battery: 7.1 - 7.6 h,55799694,https://www.lenovo.com/medias/lenovo-laptop-yoga-slim-9i-15-subseries-gallery.jpg?context=bWFzdGVyfHJvb3R8MjUyMzgyfGltYWdlL2pwZWd8aDM5L2g3Mi8xNDE5MjQ0NDI3Njc2Ni5qcGd8YjVkMDRlOTZkMTVkZmIxN2QyMTI4ZThlYTg2ODRmNjQwM2ZmYzFlMDJkNDI0MTQ5MGZkOWIzNDA1MzVlZmRmNg,M?ng nh?
Lenovo ThinkPad T15p (US),"15.6"" - 1920x1080",INTEL i7-12700H,NVIDIA GeForce RTX 3050,16 GB DDR5,512 GB - SSD,2.23 Kg / 4.91 lb,Windows 11 Pro,Estimated battery: 5.1 - 5.5 h,54520164,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MzI4Mzk4fGltYWdlL3BuZ3xoYjEvaDM5LzE0MzMxODIzNDg5MDU0LnBuZ3wzNzIwNjIzMGMyMjA1NzdjNGJhMjc5ZGY0ODRjNjNkNTU1YTgyZjc4NTA4YzEyZmUyZDBlZWVlZmVkYThjNzU2/lenovo-laptop-thinkpad-t15p-15-subseries-hero.png,Gaming
Asus ROG Strix Scar 16 (US),"16.0"" - 2560x1600",INTEL i9-13980HX,NVIDIA GeForce RTX 4080 175W,32 GB DDR5,1024 GB - SSD,2.5 Kg / 5.51 lb,Windows 11 Pro,Estimated battery: 2.5 - 2.7 h,70642242,https://m.media-amazon.com/images/I/71lzjJnNWEL.jpg,Gaming
Dell XPS 15 (US),"15.6"" - 3840x2160",INTEL i7-9750H,NVIDIA GeForce GTX 1650 GDDR5,32 GB DDR4,1024 GB - SSD,2 Kg / 4.41 lb,Windows 10 Home,Estimated battery: 6.3 - 6.8 h,60893442,https://mac24h.vn/images/thumbnails/500/500/detailed/49/csm-xps-15-front-black-dbc1c4411f-600x600_seqg-zh.png?t=1686125847,Gaming
Dell Vostro 14 (US),"14.0"" - 1920x1080",INTEL i7-11390H,INTEL Iris Xe G7 96 EU,32 GB DDR4,1024 GB - SSD,1.44 Kg / 3.16 lb,Windows 10 Pro,Estimated battery: 6.2 - 6.6 h,46769868,https://www.shopcongngheso.vn/upload/Products/Products-20560/z4414303678221_160c0123eb5d49482e7b3e6def1f5d0408062023111721.jpg?v=8,V?n ph�ng
Gigabyte Aero 15 (US),"15.6"" - 3840x2160",INTEL i7-11800H,NVIDIA GeForce RTX 3070 105W,16 GB DDR4,1024 GB - SSD,2 Kg / 4.41 lb,Windows 10 Pro,Estimated battery: 6.5 - 6.9 h,70617870,https://laptop365.vn/pic/product/aaero-15-oled-kd-72us624sp-6463823cv18d-laptop365_637908910826506859.jpeg,Gaming
Asus ExpertBook B9403 (US),"14.0"" - 2880x1800",INTEL i7-1355U,INTEL Iris Xe 96 EU,16 GB DDR5,1024 GB - SSD,0.99 Kg / 2.18 lb,Windows 11 Pro,Estimated battery: 4.9 - 5.3 h,44576388,https://dlcdnwebimgs.asus.com/gain/5863b64a-b038-4da1-902d-359b9db3bac7/,M?ng nh?
MSI Vector GP66 (US),"15.6"" - 2560x1440",INTEL i7-12650H,NVIDIA GeForce RTX 3080 Ti 150W,16 GB DDR5,1024 GB - SSD,2.38 Kg / 5.25 lb,Windows 11 Home,Estimated battery: 4.6 - 4.9 h,62355762,https://cdn.ankhang.vn/media/product/20982_laptop_msi_vector_gp66_12ugs_422vn_1.jpg,Gaming
Samsung Galaxy Book 3 Ultra (US),"16.0"" - 2880x1800",INTEL i7-13700H,NVIDIA GeForce RTX 4070 60W,32 GB DDR5,1024 GB - SSD,1.79 Kg / 3.95 lb,Windows 10 Home,Estimated battery: 4 - 4.3 h,69313968,https://image-us.samsung.com/SamsungUS/home/computing/galaxy-books/05262023/Ultra_16_Graphite.jpg,Gaming
Lenovo Legion 7i 15 (US),"15.6"" - 1920x1080",INTEL i7-10750H,NVIDIA GeForce RTX 2060,16 GB DDR4,1024 GB - SSD,2.38 Kg / 5.25 lb,Windows 10 Home,Estimated battery: 6 - 6.5 h,58456242,https://product.hstatic.net/1000345160/product/s-l1600__1__6e3cff11c73d4b6386d7a944f9ff9bed_master.jpg,Gaming
MSI Creator Pro Z16 HX (US),"16.0"" - 2560x1600",INTEL i9-13950HX,NVIDIA Quadro RTX A2000,32 GB DDR5,1024 GB - SSD,2.34 Kg / 5.16 lb,Windows 11 Pro,Estimated battery: 4.2 - 4.5 h,68205042,https://asset-us-store.msi.com/image/cache/catalog/Pd_page/Laptops/2023/CREATORPROZ16HX/CreatorProZ16HX-1-1024x1024.png,"?? ho?, k? thu?t"
MSI Gaming GP65 (US),"15.6"" - 1920x1080",INTEL i7-10750H,NVIDIA GeForce RTX 2060,32 GB DDR4,512 GB - SSD,2.33 Kg / 5.14 lb,Windows 10 Home,Estimated battery: 3.9 - 4.1 h,61027488,"https://m.media-amazon.com/images/I/81YwZnLR86L._AC_UF894,1000_QL80_.jpg",Gaming
Dell Precision 16 (US),"16.0"" - 1920x1200",INTEL i7-13850HX,NVIDIA Quadro RTX A2000 60W,32 GB DDR5,512 GB - SSD,2.6 Kg / 5.73 lb,Windows 11 Pro,Estimated battery: 4.9 - 5.2 h,76284360,https://laptopvang.com/wp-content/uploads/2022/08/dell-precision-7670-16-inch-2022-laptopvang-1-600x600.png,"?? ho?, k? thu?t"
Dell Precision 15 (US),"15.6"" - 1920x1080",INTEL i7-11850H,NVIDIA Quadro T1200,32 GB DDR4,1024 GB - SSD,2.45 Kg / 5.4 lb,Windows 11 Pro,Estimated battery: 4.8 - 5.1 h,81877734,https://files.refurbed.com/pi/dell-precision-15-5510-e3-1505m-1643982156.jpg?t=fitdesign&h=600&w=800,"?? ho?, k? thu?t"
MSI Workstation WS66 (US),"15.6"" - 1920x1080",INTEL i9-11900H,NVIDIA Quadro RTX A3000 115W,32 GB DDR4,1024 GB - SSD,2.1 Kg / 4.63 lb,Windows 10 Pro,Estimated battery: 7.2 - 7.7 h,107200242,https://asset.msi.com/resize/image/global/product/product_164755943014b2f0af6c1a9402f6f6a738e8fec892.png62405b38c58fe0f07fcef2367d8a9ba1/1024.png,"?? ho?, k? thu?t"
Asus VivoBook 14 F415 (US),"14.0"" - 1920x1080",INTEL i3-1115G4,INTEL Intel UHD Graphics Xe G4 48 EU,12 GB DDR4,128 GB - SSD,1.55 Kg / 3.42 lb,Windows 10 Home,Estimated battery: 4.8 - 5.2 h,8761734,https://www.tradeinn.com/f/13818/138181749/asus-vivobook-f415-bv163t-14-celeron-n4020-4gb-256gb-ssd-laptop.jpg,V?n ph�ng
Acer Aspire 3 15 (US),"15.6"" - 1920x1080",INTEL i3-1115G4,INTEL Intel UHD Graphics Xe G4 48 EU,8 GB DDR4,256 GB - SSD,1.7 Kg / 3.75 lb,Windows 11 Home,Estimated battery: 4.7 - 5.1 h,8737362,https://bizweb.dktcdn.net/100/357/448/products/acer-aspire-3-a315-56-502x.png?v=1618284868323,V?n ph�ng
Lenovo IdeaPad Slim 3 Chrome 14 (US),"14.0"" - 1366x768",INTEL N100,INTEL UHD Graphics,4 GB DDR5,64 GB - EMMC,1.5 Kg / 3.31 lb,Chrome OS,Estimated battery: 16.7 - 17.9 h,7847784,https://p3-ofp.static.pub/ShareResource/na/subseries/hero/lenovo-ideapad-slim-3-chromebook-14-gen8-bopis.png,V?n ph�ng
HP Chromebook x360 14ct (US),"14.0"" - 1920x1080",INTEL i3-10110U,INTEL HD Graphics 620,8 GB DDR4,64 GB - EMMC,1.65 Kg / 3.64 lb,Chrome OS,Estimated battery: 9.9 - 10.6 h,9748800,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08412749.png,V?n ph�ng
Samsung Chromebook Galaxy Go 14 (US),"14.0"" - 1366x768",INTEL Celeron N4500,INTEL UHD Graphics 11th gen,4 GB DDR4,32 GB - EMMC,1.45 Kg / 3.2 lb,Chrome OS,Estimated battery: 12.3 - 13.2 h,7275042,https://image-us.samsung.com/SamsungUS/computing/071321/gallery/Chromebook-Saturn-02-Gallery-1600x1200.jpg,V?n ph�ng
Asus VivoBook Flip 14 (US),"14.0"" - 1920x1080",INTEL i3-1115G4,INTEL Intel UHD Graphics Xe G4 48 EU,4 GB DDR4,128 GB - SSD,1.5 Kg / 3.31 lb,Windows 10 Home,Estimated battery: 5.1 - 5.5 h,9748800,https://dlcdnwebimgs.asus.com/gain/b888e0e3-a7e0-4657-915f-3de684c67311/,V?n ph�ng
Lenovo IdeaPad 5 15 (US),"15.6"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,256 GB - SSD,1.66 Kg / 3.66 lb,Windows 10 Home,Estimated battery: 6 - 6.5 h,11418282,https://khoavang.vn/resources/cache/800xx1/DuongPV/Laptop/Lenovo/Lenovo%20Ideapad%205%20(15ITL05)-i5/Lenovo_Ideapad_5_15ITL05-i5_khoavangvn-5-1670409396.webp,V?n ph�ng
Asus VivoBook Go 14 (US),"14.0"" - 1920x1080",AMD Ryzen 3 7320U,AMD Radeon 610M,8 GB DDR5,256 GB - SSD,1.38 Kg / 3.04 lb,Windows 11 Home,Estimated battery: 7.8 - 8.4 h,8518014,https://dlcdnwebimgs.asus.com/gain/31736f29-2307-4583-b887-a9fc5a85f259/,V?n ph�ng
Lenovo ThinkPad T14 (US),"14.0"" - 1920x1080",INTEL i5-10310U,INTEL HD Graphics 620,16 GB DDR4,512 GB - SSD,1.61 Kg / 3.55 lb,Windows 10 Pro,Estimated battery: 6.9 - 7.4 h,12673440,https://khoavang.vn/resources/cache/800xx1/DuongPV/Laptop/Lenovo/T14-gen-2/Thinkpad-T14-gen-2-7-1671873102.jpg,V?n ph�ng
Acer Chromebook Spin 14 (US),"14.0"" - 1920x1080",INTEL Pentium Silver N6000,INTEL UHD Graphics 11th gen,4 GB DDR4,128 GB - EMMC,1.55 Kg / 3.42 lb,Chrome OS,Estimated battery: 7.9 - 8.4 h,8213364,"https://static-ecpa.acer.com/media/catalog/product/a/c/acer-chromebook-spin-cp514-3hh-backlit-on-wallpaper-chrome-ui-sparkly-silver-01_nx.kb2aa.001.png?optimize=high&bg-color=255,255,255&fit=bounds&height=500&width=500&canvas=500:500&format=jpeg",V?n ph�ng
Acer Swift 3 14 (US),"14.0"" - 1920x1080",INTEL i5-1240P,INTEL Iris Xe G7 80 EU,16 GB DDR4,512 GB - SSD,1.25 Kg / 2.76 lb,Windows 11 Home,Estimated battery: 5.1 - 5.5 h,12186000,https://i5.walmartimages.com/seo/Acer-Swift-3-SF314-512-Intel-Core-i5-1240P-1-7-GHz-Evo-Win-11-Home-Iris-Xe-Graphics-16-GB-RAM-512-SSD-14-IPS-1920-x-1080-Full-HD-Wi-Fi-6E-pure-silver_b3befa84-dac2-4f11-bceb-8ed4b14a7b57.60aad310f844055f02a28238e0c2a628.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,M?ng nh?
Samsung Galaxy Book 15 (US),"15.6"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,256 GB - SSD,1.55 Kg / 3.41 lb,Windows 10 Pro,Estimated battery: 6.1 - 6.6 h,11710746,https://image-us.samsung.com/SamsungUS/samsungbusiness/computing/windows-laptops/galaxy-books/galaxy-book-15/gallery/Titan15_WiFi_Silver_004_R-Perspective_US_Gallery_1600x1200.jpg?$product-details-jpg$,M?ng nh?
Asus ExpertBook B1 B1500 (US),"15.6"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,16 GB DDR4,256 GB - SSD,1.73 Kg / 3.81 lb,Windows 10 Pro,Estimated battery: 4.8 - 5.1 h,11662002,https://dlcdnwebimgs.asus.com/gain/ddfda21e-fbab-43e0-9255-30a050f02eb6/,V?n ph�ng
HP Stream 14 (US),"14.0"" - 1366x768",AMD A4-9120e,AMD Radeon R4 (Bristol-Ridge),4 GB DDR3,32 GB - EMMC,1.46 Kg / 3.21 lb,Windows 10 Home,Estimated battery: 12 - 12.9 h,7275042,"https://m.media-amazon.com/images/I/81aECON81yL._AC_UF894,1000_QL80_.jpg",M?ng nh?
HP ProBook 440 (US),"14.0"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,256 GB - SSD,1.38 Kg / 3.04 lb,Windows 11 Pro,Estimated battery: 5.2 - 5.5 h,12125070,https://my-media.apjonlinecdn.com/catalog/product/8/4/840F5PA-1_T1686295166.png,M?ng nh?
Dell Inspiron 16 Plus (US),"16.0"" - 3072x1920",INTEL i5-11400H,INTEL UHD Graphics 11th gen,16 GB DDR4,512 GB - SSD,2.01 Kg / 4.43 lb,Windows 10 Home,Estimated battery: 5.2 - 5.6 h,13782366,https://laptopdell.com.vn/wp-content/uploads/2022/09/Dell-Inspiron-16-Plus-7610-e1663834484399.jpeg,V?n ph�ng
Asus VivoBook S15 OLED (US),"15.6"" - 1920x1080",INTEL i5-12500H,INTEL Iris Xe G7 80 EU,16 GB DDR4,512 GB - SSD,1.8 Kg / 3.97 lb,Windows 11 Home,Estimated battery: 6.9 - 7.4 h,13392414,https://dlcdnwebimgs.asus.com/gain/74a26bef-03fb-4904-b5ff-b5c70fd61b2c/,V?n ph�ng
Dell Latitude 14 (US),"14.0"" - 1920x1080",INTEL i7-1185G7,INTEL Iris Xe G7 96 EU,16 GB DDR4,256 GB - SSD,1.4 Kg / 3.09 lb,Windows 10 Pro,Estimated battery: 5.5 - 5.9 h,12965904,https://vitinhtainha.com/wp-content/uploads/2021/12/dell-latitude-7490-14.jpg,V?n ph�ng
Lenovo IdeaPad 3 14 (US),"14.0"" - 1920x1080",AMD Ryzen 7 5700U,AMD Radeon RX Vega 8 (Cezanne),8 GB DDR4,512 GB - SSD,1.44 Kg / 3.17 lb,Windows 11 Home,Estimated battery: 5.3 - 5.6 h,10943028,https://i5.walmartimages.com/seo/Lenovo-Ideapad-14-PC-Laptop-Intel-Pentium-Gold-6405U-4GB-RAM-128GB-SSD-Windows-10-Blue-81WA00B1US_bb10b1e2-9158-46e3-a525-66cb9c3d32ea.0eed75e654927ff0bb31de19f78e04be.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,M?ng nh?
HP Fortis 14 (US),"14.0"" - 1366x768",INTEL Celeron N4500,INTEL UHD Graphics 11th gen,4 GB DDR4,32 GB - EMMC,1.69 Kg / 3.73 lb,Chrome OS,Estimated battery: 13.7 - 14.7 h,8481456,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08084397.png,V?n ph�ng
Asus VivoBook 15 F512 (US),"15.6"" - 1920x1080",INTEL i3-1005G1,INTEL UHD Graphics G1,8 GB DDR4,256 GB - SSD,1.75 Kg / 3.86 lb,Windows 10 Home,Estimated battery: 6.3 - 6.8 h,9468522,https://www.asus.com/media/us/products/0dzccgruuh83rknj/1hon7jnkvybudt3k_setting_xxx_0_90_end_2000.png,V?n ph�ng
ASUS VivoBook Pro 14 OLED (US),"14.0"" - 2880x1800",INTEL i5-11300H,INTEL Iris Xe G7 80 EU,8 GB DDR4,256 GB - SSD,1.4 Kg / 3.09 lb,Windows 10 Home,Estimated battery: 6.4 - 6.8 h,14099202,https://m.media-amazon.com/images/I/81loPwEQMEL.jpg,V?n ph�ng
Asus Chromebook Flip 15 C536 (US),"15.6"" - 1920x1080",INTEL i3-1115G4,INTEL Intel UHD Graphics Xe G4 48 EU,8 GB DDR4,128 GB - SSD,1.95 Kg / 4.3 lb,Chrome OS,Estimated battery: 6.8 - 7.3 h,12149442,https://dlcdnwebimgs.asus.com/gain/054c3d17-e97e-4490-88bf-a7b6d6ec9658/,V?n ph�ng
HP Envy x360 15z (US),"15.6"" - 1920x1080",AMD Ryzen 5 4500U,AMD Radeon RX Vega 6 (Renoir),8 GB DDR4,256 GB - SSD,2.05 Kg / 4.53 lb,Windows 10 Home,Estimated battery: 8.6 - 9.2 h,12844044,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08453932.png,V?n ph�ng
Lenovo ThinkPad T14s (US),"14.0"" - 1920x1080",INTEL i5-10210U,INTEL HD Graphics 620,16 GB DDR4,512 GB - SSD,1.49 Kg / 3.28 lb,Windows 10 Pro,Estimated battery: 9.9 - 10.6 h,13636134,https://p2-ofp.static.pub/fes/cms/2022/03/14/q45i37k7cttcgk2bh8ldtvh3q00t9j974894.png,V?n ph�ng
MSI Modern 14 (US),"14.0"" - 1920x1080",INTEL i5-1155G7,INTEL Iris Xe G7 80 EU,16 GB DDR4,512 GB - SSD,1.3 Kg / 2.87 lb,Windows 11 Home,Estimated battery: 5.1 - 5.4 h,12149442,https://laptopaz.vn/media/product/2317_laptopaz_msi_modern_14_b5m_053us_1.jpg,M?ng nh?
Lenovo IdeaPad Slim 7 14 (US),"14.0"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,256 GB - SSD,1.36 Kg / 3 lb,Windows 11 Home,Estimated battery: 6.5 - 7 h,13380228,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MzAwNjk2fGltYWdlL3BuZ3xoN2QvaGVjLzEwNzE5MTk4MzQ3Mjk0LnBuZ3xjYjUwNjk0ZmQ4ZDVlYjliODk3MzBiZGZlYmEzMWRhZDM3ZjM3NTIwNjExYzBmMTA5MDU4YzYyNWZiM2Y4OGNm/lenovo-laptop-yoga-slim-7-14-amd-subseries-hero.png,M?ng nh?
Lenovo IdeaPad Slim 3 15 (US),"15.6"" - 1920x1080",AMD Ryzen 3 7330U,AMD Radeon Graphics,8 GB DDR4,512 GB - SSD,1.62 Kg / 3.57 lb,Windows 11 Home,Estimated battery: 7.2 - 7.8 h,10723680,https://p2-ofp.static.pub/ShareResource/na/products/ideapad/1060x596/lenovo-ideapad-slim-3-gen-8-15-inch-artic-grey-06.png,V?n ph�ng
Dell Inspiron 15 (US),"15.6"" - 1920x1080",AMD Ryzen 5 3450U,AMD Radeon RX Vega 8 (Picasso),8 GB DDR4,256 GB - SSD,1.83 Kg / 4.03 lb,Windows 10 Home,Estimated battery: 6.5 - 6.9 h,10955214,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6508/6508652_sd.jpg,V?n ph�ng
HP 14 (US),"14.0"" - 1366x768",INTEL N200,INTEL UHD Graphics,4 GB DDR4,128 GB - EMMC,1.4 Kg / 3.09 lb,Windows 11 Home,Estimated battery: 12 - 12.9 h,8262108,https://bizweb.dktcdn.net/thumb/1024x1024/100/408/235/products/761e1ad7-4204-48d2-85a0-ebb3640a5af4.jpg?v=1679471553227,M?ng nh?
Tongfang PH4TUX1 (US),"14.0"" - 1920x1200",INTEL i7-1165G7,INTEL Iris Xe G7 96 EU,16 GB DDR4,512 GB - SSD,1 Kg / 2.2 lb,Windows 10 Home,Estimated battery: 6.8 - 7.3 h,13380228,https://noteb.com/res/img/models/3714_3.jpg,M?ng nh?
Acer Aspire 3 14 (US),"14.0"" - 1920x1080",AMD Ryzen 5 7520U,AMD Radeon 610M,8 GB DDR5,512 GB - SSD,1.4 Kg / 3.09 lb,Windows 11 Home,Estimated battery: 7 - 7.5 h,10723680,"https://m.media-amazon.com/images/I/81b4I343h8L._AC_UF1000,1000_QL80_.jpg",M?ng nh?
MSI Modern 15 (US),"15.6"" - 1920x1080",INTEL i3-1215U,INTEL UHD Graphics 12th gen,8 GB DDR4,512 GB - SSD,1.7 Kg / 3.75 lb,Windows 11 Home,Estimated battery: 3.3 - 3.5 h,9712242,https://asset-us-store.msi.com/image/cache/catalog/Pd_page/Laptops/MODERN15/GEN11/GRAY/MODERN15A11-1-1024x1024.png,V?n ph�ng
Dell Inspiron 14 (US),"14.0"" - 1920x1200",AMD Ryzen 7 5825U,AMD Radeon RX Vega 8 (Cezanne),8 GB DDR4,512 GB - SSD,1.55 Kg / 3.42 lb,Windows 11 Home,Estimated battery: 9.2 - 9.8 h,13331484,https://i.dell.com/sites/csimages/App-Merchandizing_Images/all/561_US_DFH_NPI_FY22Q3_Inspiron7420_Wk22_1280x1280.jpg,V?n ph�ng
Lenovo IdeaPad 3 15 (US),"15.6"" - 1920x1080",AMD Ryzen 5 5625U,AMD Radeon RX Vega 7 (Cezanne),8 GB DDR4,256 GB - SSD,1.63 Kg / 3.59 lb,Windows 11 Home,Estimated battery: 6.5 - 7 h,11369538,https://longbinh.com.vn/images/thumbnails/480/358/detailed/92/Laptop-IdeaPad-3-15-81WR000FUS-I3-RAM-8GB-256GB-SSD-Multi-Touch-longbinh.com.vn1.jpg,V?n ph�ng
Lenovo IdeaPad 5 Pro 16 (US),"16.0"" - 2560x1600",AMD Ryzen 5 5600H,AMD Radeon RX Vega 7 (Cezanne),8 GB DDR4,512 GB - SSD,1.9 Kg / 4.19 lb,Windows 11 Home,Estimated battery: 5.9 - 6.3 h,14623200,https://laptop88.vn/media/product/7559_lenovo_ideapad_5_pro_16ach6_82l500f5us__23_.jpg,V?n ph�ng
Lenovo Yoga 7 16 (US),"16.0"" - 1920x1200",INTEL i5-1335U,INTEL Iris Xe 80 EU,8 GB DDR5,512 GB - SSD,2.04 Kg / 4.5 lb,Windows 11 Home,Estimated battery: 5.6 - 6 h,15256872,https://p1-ofp.static.pub/ShareResource/na/subseries/hero/lenovo-yoga-7-16inch-amd-gen8-arctic-grey.png,M?ng nh?
Gigabyte Aorus 15 (US),"15.6"" - 1920x1080",INTEL i5-13500H,NVIDIA GeForce RTX 4050 105W,8 GB DDR5,512 GB - SSD,2.25 Kg / 4.96 lb,Windows 11 Home,Estimated battery: 4.2 - 4.5 h,19497600,https://minhancomputer.com/media/product/9574_gigabyte_aorus_15_xe4_73vnb14gh_3.jpg,Gaming
Lenovo ThinkPad L14 (US),"14.0"" - 1920x1080",AMD Ryzen 5 PRO 5650U,AMD Radeon RX Vega 7 (Cezanne),8 GB DDR4,256 GB - SSD,1.59 Kg / 3.51 lb,Windows 10 Pro,Estimated battery: 7.8 - 8.4 h,12917160,https://p2-ofp.static.pub/fes/cms/2022/03/30/23d956swvv7e762rd4rqv4p0cy7mnr562869.png,V?n ph�ng
Acer Aspire 1 15 (US),"15.6"" - 1920x1080",INTEL Celeron N4500,INTEL UHD Graphics 11th gen,8 GB DDR4,128 GB - SSD,1.8 Kg / 3.97 lb,Windows 10 Home,Estimated battery: 8.1 - 8.7 h,9968148,https://m.media-amazon.com/images/I/71wDgtnkHwL.jpg,V?n ph�ng
Lenovo IdeaPad Flex 5 15 (US),"15.6"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,512 GB - SSD,1.8 Kg / 3.97 lb,Windows 10 Home,Estimated battery: 5.5 - 5.9 h,13063392,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NjEyODd8aW1hZ2UvcG5nfGg0Ny9oNjkvOTQ0Mjk1NjkzNTE5OC5wbmd8ZmQ2MmNmMmE0YjNmMWE5OWFmOGMzNGRiOGVkOTM2NzY0OGRjMDhmMzc2ODFjNTQ4NWFhMWVmOGRmY2M0OGM2NQ/lenovo-flex-5-15-hero.png,V?n ph�ng
HP 14 (US),"14.0"" - 1366x768",AMD Athlon Gold 7220U,AMD Radeon 610M,4 GB DDR5,128 GB - SSD,1.4 Kg / 3.09 lb,Windows 11 Home,Estimated battery: 8.2 - 8.9 h,8859222,https://synnexfpt.com/wp-content/uploads/2021/11/c08165906.png,M?ng nh?
