Lenovo IdeaPad Flex 7 14 (US),"14.0"" - 2240x1400",INTEL i7-1255U,INTEL Iris Xe 96 EU,16 GB DDR4,512 GB - SSD,1.63 Kg / 3.59 lb,Windows 11 Pro,Estimated battery: 4.6 - 4.9 h,18997974,https://p1-ofp.static.pub/medias/24174652574_stone-blue82r9_202201100402371661889940749.png,V?n ph�ng
MSI Gaming Delta 15 (US),"15.6"" - 1920x1080",AMD Ryzen 7 5800H,AMD Radeon RX 6700M,16 GB DDR4,1024 GB - SSD,1.9 Kg / 4.19 lb,Windows 10 Home,Estimated battery: 5.6 - 6 h,25578414,https://asset.msi.com/resize/image/global/product/product_162556625348a0f7051efc48c01e9fbae814693353.png62405b38c58fe0f07fcef2367d8a9ba1/1024.png,Gaming
Acer Aspire 5 15 (US),"15.6"" - 1920x1080",AMD Ryzen 5 7530U,AMD Radeon Graphics,8 GB DDR4,512 GB - SSD,1.6 Kg / 3.53 lb,Windows 11 Home,Estimated battery: 8.7 - 9.3 h,16926354,"https://m.media-amazon.com/images/I/71kmViEHobL._AC_UF1000,1000_QL80_.jpg",V?n ph�ng
HP EliteBook 655 (US),"15.6"" - 1920x1080",AMD Ryzen 5 PRO 5675U,AMD Radeon RX Vega 7 (Cezanne),16 GB DDR4,512 GB - SSD,1.74 Kg / 3.83 lb,Windows 11 Pro,Estimated battery: 8.7 - 9.3 h,20704014,"https://m.media-amazon.com/images/I/71FK+f4zvUL._AC_UF894,1000_QL80_.jpg",V?n ph�ng
Lenovo ThinkBook 14 (US),"14.0"" - 1920x1080",INTEL i5-1240P,INTEL Iris Xe G7 80 EU,16 GB DDR4,512 GB - SSD,1.4 Kg / 3.09 lb,Windows 11 Pro,Estimated battery: 7.3 - 7.9 h,22251636,https://p1-ofp.static.pub/fes/cms/2021/08/12/6d2nbecxhzbrkcocri3arbz5xq2g6u644931.png,M?ng nh?
Acer Chromebook Vero (US),"14.0"" - 1920x1080",INTEL i5-1235U,INTEL Iris Xe 80 EU,8 GB DDR4,256 GB - SSD,1.5 Kg / 3.31 lb,Chrome OS,Estimated battery: 4.8 - 5.1 h,14623200,"https://static-ecpa.acer.com/media/catalog/product/a/c/acer-chormebook-vero-514-cbv514-1h-backlit-wallpaper-chrome-ui-cobblestone-gray-01_nx.kajaa.002.png?optimize=high&bg-color=255,255,255&fit=bounds&height=500&width=500&canvas=500:500&format=jpeg",V?n ph�ng
Lenovo IdeaPad Flex 5 16 (US),"16.0"" - 1920x1200",INTEL i7-1255U,INTEL Iris Xe 96 EU,8 GB DDR4,512 GB - SSD,2.1 Kg / 4.63 lb,Windows 11 Home,Estimated battery: 4.1 - 4.5 h,16292682,https://p1-ofp.static.pub/ShareResource/na/products/ideapad/400x300/lenovo-ideapad-flex-5i-16-inch-abyss-blue.png,V?n ph�ng
MSI Summit E16 Flip (US),"16.0"" - 2560x1600",INTEL i5-1155G7,INTEL Iris Xe G7 80 EU,16 GB DDR4,512 GB - SSD,1.9 Kg / 4.19 lb,Windows 10 Pro,Estimated battery: 8.6 - 9.2 h,24372000,"https://m.media-amazon.com/images/I/81FZV6yGlJL._AC_UF894,1000_QL80_.jpg",V?n ph�ng
Acer Nitro 16 (US),"16.0"" - 2560x1600",INTEL i5-13500H,NVIDIA GeForce RTX 4050 140W,8 GB DDR5,512 GB - SSD,2.79 Kg / 6.15 lb,Windows 11 Home,Estimated battery: 3.1 - 3.3 h,25822134,"https://m.media-amazon.com/images/I/71Domrw1ArL._AC_UF894,1000_QL80_.jpg",Gaming
Lenovo V15 (US),"15.6"" - 1920x1080",INTEL i3-1315U,INTEL UHD Graphics,8 GB DDR4,256 GB - SSD,1.67 Kg / 3.68 lb,Windows 11 Home,Estimated battery: 3.2 - 3.5 h,15135012,https://p1-ofp.static.pub/fes/cms/2022/02/10/ruuqwxsmwevzvmz3pjne8wvrgq3u6k034997.png,V?n ph�ng
